epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
90,9452.73,1.14948,1.91182,1.0358,1.44862,0,0.82527,0.7425,0.81152,0.53289,0.84186,0.74321,0.81295,0.51411,1.22326,2.01288,0.94414,1.52181,0,0.000800131,0.000800131,0.000800131
91,9558.52,1.14107,1.89157,1.03009,1.44364,0,0.80747,0.74166,0.81249,0.52974,0.81436,0.74974,0.81588,0.50907,1.23584,2.02455,0.94806,1.53947,0,0.000795954,0.000795954,0.000795954
92,9663.88,1.14138,1.92119,1.0344,1.4452,0,0.81753,0.72182,0.80737,0.52915,0.82924,0.73216,0.8137,0.51032,1.21667,2.00054,0.96331,1.5212,0,0.000791744,0.000791744,0.000791744
93,9769.23,1.13288,1.89854,1.02948,1.44067,0,0.79515,0.75866,0.80563,0.5283,0.80945,0.76008,0.80464,0.508,1.21442,2.01203,0.93839,1.52628,0,0.000787503,0.000787503,0.000787503
94,9874.8,1.13793,1.90271,1.01156,1.43804,0,0.78567,0.75595,0.81167,0.53798,0.81431,0.75595,0.81787,0.51588,1.20772,1.98839,0.9369,1.5128,0,0.000783231,0.000783231,0.000783231
95,9980,1.1216,1.88203,1.01728,1.43346,0,0.77869,0.77766,0.81399,0.53946,0.79191,0.7871,0.82087,0.52214,1.20077,1.99251,0.93023,1.50761,0,0.000778929,0.000778929,0.000778929
96,10085,1.11871,1.88413,1.01442,1.43871,0,0.80418,0.76445,0.81264,0.53169,0.81498,0.76836,0.82134,0.51517,1.22006,1.97919,0.92008,1.53586,0,0.000774596,0.000774596,0.000774596
97,10190.2,1.12881,1.88277,1.01025,1.43992,0,0.79986,0.75633,0.80825,0.53675,0.81085,0.77138,0.82047,0.51892,1.2142,2.00818,0.95356,1.5239,0,0.000770234,0.000770234,0.000770234
98,10295,1.15352,1.91086,1.03977,1.44699,0,0.79922,0.75181,0.80946,0.53597,0.82079,0.75491,0.81711,0.51344,1.21041,2.01934,0.92463,1.50897,0,0.000765843,0.000765843,0.000765843
99,10399.4,1.10952,1.86302,1.0009,1.42373,0,0.80436,0.75698,0.81266,0.53507,0.81261,0.76629,0.82086,0.51852,1.22526,1.99594,0.9195,1.51521,0,0.000761423,0.000761423,0.000761423
100,10504.8,1.13141,1.88139,1.00337,1.43222,0,0.81425,0.74799,0.81522,0.53674,0.82987,0.7456,0.81419,0.51454,1.20977,2.03823,0.91531,1.50504,0,0.000756976,0.000756976,0.000756976
101,10609.8,1.13123,1.89129,1.00938,1.42547,0,0.82821,0.73733,0.81555,0.54186,0.84138,0.74604,0.81984,0.51979,1.21205,2.02139,0.90458,1.5167,0,0.0007525,0.0007525,0.0007525
102,10714.7,1.10455,1.86354,0.98261,1.41537,0,0.78645,0.77559,0.81002,0.53632,0.80794,0.78594,0.82249,0.52088,1.20174,1.954,0.91304,1.49943,0,0.000747997,0.000747997,0.000747997
103,10819.5,1.1113,1.87357,0.98779,1.41688,0,0.79966,0.75698,0.81736,0.5381,0.80694,0.76112,0.81615,0.51467,1.21127,1.99706,0.91724,1.51721,0,0.000743468,0.000743468,0.000743468
104,10925,1.09311,1.81614,0.96921,1.40184,0,0.79298,0.79007,0.81969,0.54301,0.80366,0.78732,0.82412,0.52779,1.20542,1.97901,0.90526,1.50561,0,0.000738913,0.000738913,0.000738913
105,11030.5,1.08334,1.83033,0.94795,1.39746,0,0.80866,0.76921,0.8152,0.54013,0.81757,0.77859,0.81714,0.52326,1.22147,1.99443,0.92441,1.52007,0,0.000734332,0.000734332,0.000734332
106,11135.5,1.09212,1.82855,0.96042,1.40472,0,0.82552,0.74369,0.81596,0.54273,0.84667,0.73423,0.81384,0.52224,1.19661,1.99236,0.91371,1.50812,0,0.000729725,0.000729725,0.000729725
107,11240.7,1.11096,1.8406,0.99071,1.41861,0,0.83181,0.74673,0.81862,0.54785,0.84355,0.75274,0.822,0.52824,1.19816,1.98405,0.88404,1.50952,0,0.000725094,0.000725094,0.000725094
108,11346.5,1.09031,1.82356,0.96704,1.39942,0,0.82785,0.75698,0.81777,0.54617,0.83572,0.76112,0.8229,0.52792,1.20705,1.9691,0.90744,1.51602,0,0.000720439,0.000720439,0.000720439
