epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,2767.01,1.33702,2.24972,1.33131,1.62255,0,0.76618,0.67115,0.73843,0.44919,0.78305,0.67218,0.74019,0.44286,1.37652,2.15727,1.18306,1.67518,0,0.000963306,0.000963306,0.000963306
39,2838.73,1.34174,2.22101,1.33096,1.63175,0,0.7364,0.66494,0.72294,0.44997,0.75211,0.67011,0.73638,0.44541,1.3457,2.11674,1.19664,1.65143,0,0.000961322,0.000961322,0.000961322
40,2910.46,1.35383,2.2518,1.34427,1.63001,0,0.73566,0.68356,0.73317,0.44911,0.73942,0.67839,0.73422,0.43058,1.35415,2.20461,1.18574,1.66048,0,0.000959289,0.000959289,0.000959289
41,2981.96,1.34678,2.24838,1.31328,1.62633,0,0.75345,0.67313,0.72633,0.46165,0.76271,0.6814,0.73224,0.44997,1.29885,2.12854,1.1594,1.61762,0,0.000957205,0.000957205,0.000957205
42,3054.06,1.3346,2.22678,1.28239,1.61497,0,0.73758,0.67632,0.73005,0.44967,0.78367,0.65253,0.73113,0.43782,1.30217,2.14586,1.18468,1.61532,0,0.000955072,0.000955072,0.000955072
43,3125.93,1.32937,2.18441,1.29679,1.5995,0,0.74243,0.65874,0.73164,0.45369,0.74826,0.66391,0.73325,0.4431,1.32077,2.14424,1.17364,1.63269,0,0.000952889,0.000952889,0.000952889
44,3197.83,1.32186,2.15412,1.26379,1.58852,0,0.75845,0.70137,0.7466,0.47198,0.77164,0.69889,0.75173,0.46443,1.32324,2.1073,1.11975,1.62733,0,0.000950658,0.000950658,0.000950658
45,3269.55,1.31588,2.16882,1.27558,1.59503,0,0.72444,0.69597,0.73782,0.4619,0.73212,0.697,0.73976,0.4515,1.32111,2.14795,1.14575,1.62657,0,0.000948377,0.000948377,0.000948377
46,3341.25,1.29833,2.14785,1.24,1.58565,0,0.70648,0.69597,0.74792,0.47275,0.71934,0.70217,0.75321,0.45701,1.30764,2.09872,1.11426,1.62068,0,0.000946048,0.000946048,0.000946048
47,3413,1.30531,2.16999,1.24806,1.58574,0,0.76216,0.67839,0.75863,0.47407,0.76591,0.67735,0.75384,0.45635,1.33762,2.11857,1.15733,1.63255,0,0.000943671,0.000943671,0.000943671
48,3484.91,1.30764,2.15056,1.24959,1.58568,0,0.76989,0.67839,0.76165,0.47133,0.77812,0.67942,0.7597,0.46026,1.32434,2.11764,1.09683,1.62874,0,0.000941245,0.000941245,0.000941245
49,3556.55,1.28516,2.12381,1.21523,1.57037,0,0.7798,0.6908,0.76217,0.4871,0.78491,0.69493,0.75899,0.47172,1.28345,2.1332,1.08572,1.5862,0,0.000938772,0.000938772,0.000938772
50,3628.59,1.27934,2.10679,1.2221,1.55132,0,0.74196,0.71251,0.7586,0.47948,0.75768,0.71044,0.75988,0.46513,1.30683,2.16412,1.11806,1.60494,0,0.000936251,0.000936251,0.000936251
51,3700.39,1.28431,2.1255,1.1998,1.56257,0,0.76315,0.72285,0.77367,0.48019,0.76998,0.71768,0.76659,0.46565,1.28623,2.10857,1.0812,1.57423,0,0.000933683,0.000933683,0.000933683
52,3772.13,1.27103,2.12766,1.18443,1.54392,0,0.74673,0.69493,0.77143,0.4943,0.75925,0.70734,0.77549,0.48157,1.28809,2.08364,1.06837,1.58134,0,0.000931067,0.000931067,0.000931067
53,3843.91,1.25282,2.08692,1.18074,1.54984,0,0.78851,0.70527,0.7802,0.49821,0.79372,0.71226,0.78362,0.48363,1.28802,2.05809,1.0392,1.60047,0,0.000928405,0.000928405,0.000928405
54,3915.97,1.25227,2.09841,1.1648,1.53793,0,0.78196,0.70837,0.76054,0.48249,0.78539,0.71147,0.76065,0.46946,1.30066,2.06939,1.10486,1.60019,0,0.000925697,0.000925697,0.000925697
