epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
40,3197.53,1.10962,1.83828,0.84234,1.17541,0,0.8223,0.70332,0.791,0.52286,0.80738,0.73444,0.79753,0.50041,1.29096,2.17484,0.92495,1.3206,0,0.0012278,0.0012278,0.0012278
41,3277.11,1.08373,1.82607,0.82031,1.16186,0,0.81235,0.71992,0.79827,0.52792,0.82022,0.73237,0.8093,0.49916,1.28048,2.20465,0.91557,1.30398,0,0.001208,0.001208,0.001208
42,3356.83,1.06527,1.78074,0.80546,1.15672,0,0.79604,0.73859,0.79808,0.52906,0.81013,0.74356,0.80333,0.50169,1.29938,2.21331,0.89154,1.32564,0,0.0011882,0.0011882,0.0011882
43,3436.46,1.07517,1.76547,0.80078,1.15599,0,0.78311,0.73133,0.80287,0.52611,0.7916,0.73651,0.79815,0.50335,1.28303,2.16928,0.913,1.31378,0,0.0011684,0.0011684,0.0011684
44,3516.29,1.0769,1.76931,0.79944,1.15607,0,0.80436,0.72822,0.78844,0.52432,0.80697,0.72857,0.79083,0.4902,1.2522,2.21978,0.92077,1.28026,0,0.0011486,0.0011486,0.0011486
45,3596.13,1.07187,1.79089,0.79954,1.15653,0,0.81929,0.74066,0.80273,0.5372,0.82778,0.73859,0.80454,0.50786,1.27163,2.18586,0.89605,1.31428,0,0.0011288,0.0011288,0.0011288
46,3675.72,1.05564,1.73648,0.77853,1.15259,0,0.82014,0.74585,0.81143,0.54394,0.82592,0.75299,0.80962,0.51348,1.25379,2.23,0.89801,1.29579,0,0.001109,0.001109,0.001109
47,3755.47,1.07108,1.79004,0.80033,1.1505,0,0.80411,0.74943,0.79655,0.53488,0.81011,0.75726,0.80168,0.50789,1.27088,2.17005,0.88482,1.30979,0,0.0010892,0.0010892,0.0010892
48,3835.24,1.05103,1.75713,0.78753,1.15193,0,0.77542,0.75415,0.80665,0.54126,0.80001,0.7511,0.81348,0.51875,1.23909,2.15147,0.89249,1.2849,0,0.0010694,0.0010694,0.0010694
49,3915.26,1.04741,1.75832,0.77618,1.14314,0,0.79396,0.76245,0.81386,0.54556,0.80397,0.77006,0.82068,0.51895,1.26207,2.15679,0.87717,1.29292,0,0.0010496,0.0010496,0.0010496
50,3994.97,1.03956,1.72897,0.76468,1.13503,0,0.80226,0.76037,0.81332,0.54218,0.80478,0.76141,0.80857,0.50955,1.28117,2.21172,0.86865,1.31183,0,0.0010298,0.0010298,0.0010298
51,4074.63,1.04112,1.74599,0.78309,1.13793,0,0.8152,0.75311,0.81839,0.5481,0.81599,0.76452,0.81938,0.52119,1.25549,2.17659,0.84734,1.29838,0,0.00101,0.00101,0.00101
52,4154.35,1.03055,1.7055,0.74929,1.13658,0,0.83434,0.75415,0.81704,0.54508,0.83325,0.75679,0.81887,0.51528,1.26981,2.19347,0.86977,1.30008,0,0.0009902,0.0009902,0.0009902
53,4234.03,1.02532,1.70838,0.74425,1.11922,0,0.84139,0.75388,0.82192,0.55197,0.84589,0.76295,0.82476,0.52457,1.24042,2.16164,0.84508,1.28165,0,0.0009704,0.0009704,0.0009704
54,4313.94,1.02322,1.70566,0.74361,1.12136,0,0.81599,0.74522,0.80783,0.54308,0.82003,0.75104,0.81051,0.51022,1.25398,2.2196,0.87238,1.29772,0,0.0009506,0.0009506,0.0009506
55,4393.54,1.01298,1.68895,0.73383,1.12195,0,0.8324,0.74481,0.81581,0.55516,0.84399,0.75519,0.82372,0.52633,1.22071,2.1524,0.83474,1.27448,0,0.0009308,0.0009308,0.0009308
56,4473.23,1.01187,1.68905,0.72458,1.11123,0,0.80956,0.76556,0.82167,0.55757,0.83276,0.76447,0.82438,0.53568,1.218,2.14665,0.82724,1.26148,0,0.000911,0.000911,0.000911
57,4552.97,1.01807,1.70179,0.73557,1.13028,0,0.81677,0.77801,0.8206,0.56149,0.84118,0.76368,0.82199,0.52692,1.21515,2.13744,0.82875,1.26385,0,0.0008912,0.0008912,0.0008912
58,4632.63,0.99718,1.67982,0.71899,1.11694,0,0.81922,0.76245,0.80984,0.55616,0.82814,0.77075,0.81249,0.51999,1.22073,2.1354,0.8589,1.26245,0,0.0008714,0.0008714,0.0008714
59,4712.23,0.99468,1.65888,0.70386,1.10466,0,0.84188,0.73963,0.82043,0.55402,0.81259,0.77361,0.8204,0.52406,1.22727,2.18109,0.81337,1.27235,0,0.0008516,0.0008516,0.0008516
60,4791.91,0.97645,1.63083,0.69632,1.0941,0,0.82306,0.7431,0.80841,0.5539,0.8273,0.75533,0.81393,0.52315,1.23343,2.14226,0.82597,1.27672,0,0.0008318,0.0008318,0.0008318
61,4871.67,0.97676,1.64409,0.70997,1.10452,0,0.82565,0.77178,0.82114,0.5599,0.82763,0.77282,0.81893,0.52961,1.21251,2.14665,0.81725,1.25361,0,0.000812,0.000812,0.000812
62,4951.34,0.97684,1.6239,0.6746,1.09732,0,0.83976,0.73933,0.81348,0.55782,0.84712,0.74481,0.82075,0.53159,1.21392,2.11825,0.82655,1.26098,0,0.0007922,0.0007922,0.0007922
63,5031.14,0.96436,1.60506,0.67317,1.08999,0,0.8119,0.77075,0.81709,0.55728,0.8436,0.75622,0.82078,0.52592,1.22495,2.15059,0.82092,1.26482,0,0.0007724,0.0007724,0.0007724
64,5110.69,0.96632,1.63805,0.69045,1.09355,0,0.83816,0.75749,0.82255,0.55939,0.85218,0.76141,0.82807,0.53136,1.22311,2.14837,0.82026,1.25925,0,0.0007526,0.0007526,0.0007526
65,5190.38,0.97213,1.64994,0.69059,1.09863,0,0.82014,0.77102,0.82982,0.5659,0.82799,0.77899,0.83098,0.53341,1.21116,2.16177,0.80418,1.269,0,0.0007328,0.0007328,0.0007328
